1862,247,2682,16762099,1821,2852,4079,28801
559,1316,528,15986,1025,2704,875,2378
2106,1384,1849,16773659,805,1975,1032,12252
75339,22206,10915,726952,8453,16753064,16752735,16763407
2756,2944,8059,83158,2636,4657,8626,29114
24480,10106,11069,125919,3038,16095,27670,315172
9957,5310,3999,144224,3595,4370,10096,76131
3626,3398,2893,16759533,2081,4437,6407,38578
29441,16441,16773,1745277,9934,19327,11065,16756704
29237,19349,6446,55600,4281,19815,31979,200857
10671,4409,1728,31135,1237,5829,3411,17217
3771,5383,6051,21268,1383,3389,3595,6167
5503,3833,11154,16761786,1692,6676,16745,32626
5099,6749,6281,473529,4525,5246,6317,153655
6254,12429,8607,1345327,13208,15627,18775,48949
29412,20710,17962,502990,9468,16745868,21654,85632
7784,4744,7348,16767403,2817,3487,932,23540
6536,2004,15896,131078,3138,3574,8868,16767453
18351,11076,18811,926342,6426,22778,12506,73704
14058,7213,97754,333090,4402,9116,7291,41274
5020,1394,1618,1970,753,6803,4291,2654
7057,3189,2247,2306,1625,3337,2311,5129
4275,3174,1588,22446,2628,13643,2513,4695
108921,82727,52671,1651087,13471,29766,12533,938021
16756017,7872,16749515,736886,11394,16761390,16770161,16747323
4527,3044,3079,6110,696,2150,10271,5593
2530,687,344,12339,921,3863,4709,4402
1596,1038,7064,2012,1865,5425,6883,13326
8257,5940,17219,664819,6311,20119,19655,16771900
7500,2122,4189,10524,502,2989,7505,8236
4902,2171,1004,12215,1145,3372,3175,6285
2927,3118,9364,17477,1218,8980,4628,4399
2025,2515,3552,8368,433,2141,4535,8039
1851,663,9193,3790,388,4288,2782,3548
3642,1259,413,5091,3440,3080,1327,3573
15876,4293,16047,50208,7998,14484,6782,16746483
11173,1431,11418,29244,1494,5075,8540,1963
2809,1294,3437,4835,1107,1844,3016,7661
5696,1439,3289,5670,1084,3101,3693,3328
5348,1399,1094,4132,741,3591,2410,3516
10077,2556,20282,265393,2848,4566,5563,81652
1894,1820,2765,2387,1447,4251,2399,1777
1912,871,9554,5346,569,2040,3116,8556
4659,819,3877,21589,1280,2842,3928,3516
1854,1215,1238,7113,183,2819,2346,5274
149539,16766460,149648,2135576,22068,16763516,16745877,620720
16751895,23632,56455,16775244,12826,9965,76265,74917
1026,3421,3394,20590,732,2477,4374,5634
3269,393,2744,2488,816,2039,3834,2858
2001,438,1329,8411,168,3742,1508,4250
